"CPU frequency, GHz","Power Consumption, Joules",Benchmark Score,"Time Elapsed, s","Battery Consumption, Joules",machine,workload,experiment_id,Score per Joule,experiment
,2013.83193,55.167,494.799,,azure,atlas-gen-bmk,5,0.027394043752201308,azure
,2911.4479,55.238,619.457,,azure,atlas-gen-bmk,5,0.01897269052968456,azure
,2424.07836,55.167,612.141,,azure,atlas-gen-bmk,5,0.022757927676892425,azure
,2789.0164,54.5635,625.34,,azure,atlas-gen-bmk,5,0.019563707119111956,azure
,2262.53374,55.309,494.003,,azure,atlas-gen-bmk,5,0.024445602300719724,azure
,3056.12196,54.4925,621.163,,azure,atlas-gen-bmk,5,0.017830603854566068,azure
,2983.78448,54.315,643.057,,azure,atlas-gen-bmk,5,0.018203392491672188,azure
,741.229192,56.374,852.968,,azure,cms-reco-bmk,6,0.0760547487989383,azure
,176.039089,56.303,684.977,,azure,cms-reco-bmk,6,0.319832375410668,azure
,141.487191,56.4805,683.513,,azure,cms-reco-bmk,6,0.39919161304149436,azure
,186.310958,56.8,679.967,,azure,cms-reco-bmk,6,0.30486666275421115,azure
,177.97137600000002,57.4745,674.134,,azure,cms-reco-bmk,6,0.3229423814759964,azure
,179.896978,57.7585,668.762,,azure,cms-reco-bmk,6,0.3210643149325165,azure
,167.46246,57.4035,672.54,,azure,cms-reco-bmk,6,0.3427842872963887,azure
,164.54861499999998,57.439,671.627,,azure,cms-reco-bmk,6,0.34907009092723146,azure
,188.18988,63.6515,617.016,,azure,cms-reco-bmk,6,0.3382301960126655,azure
,168.443,57.226,673.772,,azure,cms-reco-bmk,6,0.3397351032693552,azure
